DOWNLOAD DATE AND TIME: 08/05/2023 - 13:11:08
 
TAG: LCA-3119-J10-   SN: 20000   MANUF.DATE: 09/23/2022
 
OPERATION MODE: LOCAL/SCADA   
USE MODE: 		CPO           
 
PRESSURES
LINE PRESSURE         RANGE:     0/10000 PSI
P2                    RANGE:     0/10000 PSI
P3                    RANGE:     0/15000 PSI
PILOT PRESSURE        RANGE:     0/  232 PSI
POWER PRESSURE        RANGE:     0/ 3626 PSI
 
VALVES
V1 TYPE:   VSM   OPENING TIME OUT:  60 S   CLOSING TIME OUT: 120 S   STARTING TIME:   0 S   PST FREQ.:     0 H
V2 TYPE:  WING   OPENING TIME OUT:  30 S   CLOSING TIME OUT: 120 S   PST FREQ.:     0 H
V3 TYPE: CHOKE   OPENING TIME OUT:  50 S   CLOSING TIME OUT:  50 S   ENABLED: YES   POS. INDICATOR: YES
 
TRIGGERS
LOW LEVEL:   711 PSI   HIGH LEVEL:  1565 PSI   HYSTERESIS:    50 PSI
 
CHOKE CONFIG
POSITION: + RESTR.
 
HYDRAULIC CONFIG
PUMP SELECTION: ALTERNATE
MIN. POWER PRESSURE:  1300 PSI
MAX. POWER PRESSURE:  1800 PSI
MIN. PILOT PRESSURE:    50 PSI
MAX. PILOT PRESSURE:   120 PSI
MAX. LIMIT PRESSURE:  3000 PSI
FIST HIT DETECTION PRESSURE:    10 PSI
 
SERIAL COMMUNICATION
ENABLE: YES  PROTOCOL: MODBUS-RTU   BAUD RATE: 9600   PARITY: NO     STOP BITS: 2   SLAVE: 1
 
FACTORY
MODEL: E02   FIRMWARE: V01.42
 
 
NUMBER OF CAPTURES: 003041
 
   DATE   ;  TIME  ;Pline; P2 ; P3 ;Ppilot;Ppower
08/03/2023;17:37:17;1286 ;0000;0000; 0083 ; 1507 
08/03/2023;17:38:17;1286 ;0000;0000; 0083 ; 1507 
08/03/2023;17:39:17;1282 ;0000;0000; 0084 ; 1505 
08/03/2023;17:40:16;1282 ;0000;0000; 0084 ; 1503 
08/03/2023;17:41:16;1285 ;0000;0000; 0084 ; 1503 
08/03/2023;17:42:16;1285 ;0000;0000; 0084 ; 1502 
08/03/2023;17:43:16;1286 ;0000;0000; 0084 ; 1502 
08/03/2023;17:44:15;1282 ;0000;0000; 0084 ; 1500 
08/03/2023;17:45:15;1282 ;0000;0000; 0084 ; 1498 
08/03/2023;17:46:15;1285 ;0000;0000; 0084 ; 1498 
08/03/2023;17:47:14;1282 ;0000;0000; 0083 ; 1497 
08/03/2023;17:48:14;1282 ;0000;0000; 0083 ; 1495 
08/03/2023;17:49:14;1285 ;0000;0000; 0083 ; 1495 
08/03/2023;17:50:13;1282 ;0000;0000; 0083 ; 1493 
08/03/2023;17:51:13;1281 ;0000;0000; 0083 ; 1493 
08/03/2023;17:52:13;1281 ;0000;0000; 0084 ; 1492 
08/03/2023;17:53:13;1285 ;0000;0000; 0083 ; 1492 
08/03/2023;17:54:12;1282 ;0000;0000; 0083 ; 1490 
08/03/2023;17:55:12;1285 ;0000;0000; 0084 ; 1488 
08/03/2023;17:56:12;1282 ;0000;0000; 0084 ; 1487 
08/03/2023;17:57:12;1282 ;0000;0000; 0084 ; 1487 
08/03/2023;17:58:11;1285 ;0000;0000; 0084 ; 1485 
08/03/2023;17:59:11;1286 ;0000;0000; 0084 ; 1485 
08/03/2023;18:00:11;1285 ;0000;0000; 0084 ; 1483 
